alloy_code,carbon,silicon,manganese,phosphorus,sulphur,nickel,chromium,molybdenum,cooper,vanadium,aluminum,nitrogen,carbon_equivalent,niobium_tantalum,temperature_c,yield_strength_mpa,tensile_strength_mpa
LAE,0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,0.0,300,218,530
LAE,0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,0.0,400,262,442
LAE,0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,0.0,450,200,393
LAE,0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,0.0,500,200,354
LAE,0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,0.0,550,213,311
LAE,0.14,0.22,0.46,0.012,0.012,0.01,0.03,0.5,0.03,0.0,0.006,0.006,0.0,0.0,600,156,266
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,27,290,450
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,100,267,414
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,200,260,463
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,300,203,487
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,400,182,438
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,450,192,418
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,500,167,372
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,550,175,313
LAF,0.15,0.25,0.58,0.008,0.01,0.05,0.11,0.52,0.04,0.0,0.007,0.011,0.0,0.0,600,146,253
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,27,320,480
